CCCLastUpdated,application_status,license_type,APPLICATION_CLASSIFICATION,APPLICATION_CLASSIFICATION - Split 1,APPLICATION_CLASSIFICATION - Split 2,APPROVED_LICENSE_TYPE,Approved_License_Stages,lic_status,license_number,business_name,establishment_city,establishment_zipcode,BUSINESS_EMAIL,BUSINESS_PHONE,business_address_1,business_address_2,business_city,business_state,business_zipcode,geocoded_county,geocoded_address,mailing_address_1,mailing_address_2,mailing_city,mailing_state,mailing_zipcode,EIN_TIN,APPLICATION_NUMBER,SUBMITTED_DATE,FIRST_COMPLIANCE_REVIEW_DATE,LIC_FEE_PAYMENT_SUBMITTED_DATE,PRIORITY,FEE_WAIVER_REQUEST,FEE_WAIVER_EE_OR_SE_NUMBER,EE_PRIORITY_STATUS,EE_PRIORITY_NUMBER_FROM_ACCOUNT,EE_PRIORITY_NUMBER_FROM_APPLICATION,RMD_PRIORITY_STATUS,RMD_PRIORITY_NUMBER_FROM_ACCOUNT,RMD_PRIORITY_NUMBER_FROM_APPLICATION,dbe,cultivation_environment,cultivation_tier,cnb_dt_of_final_licensure,APPLICATION_CREATED_DATE,CNB_DEEMED_COMPLETE_DATE,APPLICATION_APPROVED_DATE,LIC_START_DATE,LIC_EXPIRATION_DATE,PMT_AMOUNT,LIC_FEE_AMOUNT,ZIP,Town,county,county_lat,county_long,Region,ESTABLISHMENT_ADDRESS_2,establishment_state,latitude,longitude
11/13/2023,PENDING,Marijuana Retailer,General Applicant,General Applicant,General Applicant,IN PROCESS,IN PROCESS,INCOMPLETE,MR284775,Aro 31 LLC,Marblehead,01945,mark@arocannabis.com,617-710-7752,222 Beacon Street,,Marblehead,MA,01945,POINT (-70.970827 42.635475),POINT (-70.858669 42.5136880),243 Green Street,,Marblehead,MA,01945,86-2014877,MRN284775,9/20/2023 01:52:21 PM,1/17/2023 12:04:26 PM,,,no,,,,,,,,Not a DBE,,,,9/29/2022 02:06:36 PM,10/20/2023 09:56:06 AM,,,,,0,01945,Marblehead,Essex,42.635475,-70.970827,Northeast,Unit 2 and 3,MA,42.513688,-70.858669
11/13/2023,PENDING,Marijuana Retailer,Expedited Review - DBE Status,Expedited,DBE Status,IN PROCESS,IN PROCESS,INCOMPLETE,MR284981,Flora Holdings LLC,Waltham,02451,hlwi.partners@gmail.com,781-386-7525,221 Bear Hill Road,,Waltham,MA,02451,POINT (-71.275566 42.459085),POINT (-71.264663 42.3836480),27 Franklin Street,,Wakefiled,MA,01880,85-2685950,MRN284981,9/11/2023 03:44:43 PM,8/16/2023 11:44:49 AM,,,no,,,,,,,,Woman-Owned Business,,,,6/29/2023 04:31:04 PM,9/15/2023 01:07:55 PM,,,,,0,02451,Waltham,Middlesex,42.459085,-71.275566,Northeast,N/A,MA,42.383648,-71.264664
11/13/2023,PENDING,Marijuana Courier,Priority Review - Economic Empowerment Priority,Priority,Economic Empowerment Priority,IN PROCESS,IN PROCESS,INCOMPLETE,DO100174,Tradesman Exchange LLC,Mashpee,02649,ngomes@ngomeslaw.com,508-264-2530,226 South Main Street,,Fall River,MA,02721,POINT (-70.301811 41.698999),,226 South Main Street,,Fall River,MA,02721,85-2760510,DOA100174,11/8/2022 05:03:12 PM,9/6/2022 11:23:22 AM,,,,EE202151,,,,,,,Not a DBE,,,,9/2/2022 10:54:51 AM,,,,,,0,02649,Mashpee,Barnstable,41.698999,-70.301811,Southeast and Cape,,MA,,
11/13/2023,PENDING,Marijuana Retailer,Expedited Review - Social Equity Participant,Expedited,Social Equity Participant,IN PROCESS,IN PROCESS,INCOMPLETE,MR284312,SAWF Estate LLC,Boston,02124,sgrant@publicpolicylaw.com,617-429-0972,879-881 Blue Hill Avenue,,Boston,MA,02124,POINT (-71.073493 42.334948),POINT (-71.088100 42.2953570),879 Blue Hill Avenue,,Dorchester,MA,02124,92-3227067,MRN284312,11/2/2023 09:58:44 AM,10/6/2023 01:30:19 PM,,,yes,SE304958,,,,,,,Not a DBE,,,,7/1/2021 12:45:40 PM,11/3/2023 12:20:39 PM,,,,,0,02124,Boston,Suffolk,42.334948,-71.073493,Metro Boston,N/A,MA,42.295357,-71.088101
11/13/2023,PENDING,Marijuana Cultivator,Expedited Review - DBE Status,Expedited,DBE Status,IN PROCESS,IN PROCESS,INCOMPLETE,MC283839,"Witch City Gardens, LLC",Salem,01970,elizabeth@starbirdsalem.com,818-687-5443,2 Bridge Street,,Salem,MA,01970,POINT (-70.970827 42.635475),POINT (-70.887165 42.5365490),2 Bridge Street,,Salem,MA,01970,83-1048561,MCN283839,10/19/2023 07:40:03 PM,4/26/2023 12:36:52 PM,,,no,,,,,,,,Woman-Owned Business | Minority-Owned Business,Indoor,"Tier 01: up to 5,000 square feet",,1/31/2023 10:38:33 AM,10/20/2023 10:44:28 AM,,,,,0,01970,Salem,Essex,42.635475,-70.970827,Northeast,N/A,MA,42.536549,-70.887166
11/13/2023,PENDING,Marijuana Retailer,General Applicant,General Applicant,General Applicant,IN PROCESS,IN PROCESS,INCOMPLETE,MR284994,"Pure Tewksbury, Inc.",Tewksbury,01876,jimstatires@gmail.com,603-296-5036,1695 Shawsheen St,,Tewksbury,MA,01876,POINT (-71.275566 42.459085),,1695 Shawsheen St,,Tewksbury,MA,01876,92-0769290,MRN284994,11/6/2023 03:06:14 PM,,,,no,,,,,,,,Not a DBE,,,,7/19/2023 09:42:30 AM,,,,,,0,01876,Tewksbury,Middlesex,42.459085,-71.275566,Northeast,,MA,,
11/13/2023,PENDING,Marijuana Retailer,General Applicant,General Applicant,General Applicant,IN PROCESS,IN PROCESS,INCOMPLETE,MR284873,ARL Healthcare Inc.,Quincy,02169,joliver@marimedinc.com,207-807-3620,216 Ricciuti Drive,,Quincy,MA,02169,POINT (-71.15444 42.199156),POINT (-71.041268 42.2397149),10 Oceana Way,2nd Floor,Norwood,MA,02062,46-3459666,MRN284873,10/13/2023 10:58:59 AM,6/13/2023 10:28:49 AM,,True,no,,,,,APPROVED,RP201908,,Not a DBE,,,,2/7/2023 03:24:48 PM,10/13/2023 04:11:34 PM,,,,,0,02169,Quincy,Norfolk,42.199156,-71.15444,Metro Boston,N/A,MA,42.239715,-71.041268
11/13/2023,PENDING,Marijuana Retailer,Expedited Review - Social Equity Participant,Expedited,Social Equity Participant,IN PROCESS,IN PROCESS,INCOMPLETE,MR284978,"1220 Washington St, Inc.",Boston,02118,nike@vibe-re.com,617-649-4104,1220-1226  Washington Street,,Boston,MA,02118,POINT (-71.073493 42.334948),POINT (-71.066772 42.3427739),116 Cambridge St,,Boston,MA,02129,88-2597122,MRN284978,10/16/2023 09:42:36 AM,7/25/2023 04:30:33 PM,,,yes,SE304160,,,,,,,Not a DBE,,,,6/27/2023 04:22:43 PM,10/20/2023 09:44:20 AM,,,,,0,02118,Boston,Suffolk,42.334948,-71.073493,Metro Boston,N/A,MA,42.342774,-71.066772
11/13/2023,PENDING,Marijuana Retailer,General Applicant,General Applicant,General Applicant,IN PROCESS,IN PROCESS,INCOMPLETE,MR282491,"Blue Enterprises HSMA, LLC",Cambridge,02138,damondhughes@gmail.com,617-637-7171,57 John F. Kennedy Street,,Cambridge,MA,02138,POINT (-71.275566 42.459085),,34 Van Brunt st,,Hyde Park,MA,02136,85-1016017,MRN282491,11/3/2023 08:20:31 PM,,,True,yes,EE202279,,,EE202279,,,,Not a DBE,,,,3/13/2019 08:47:27 AM,,,,,,0,02138,Cambridge,Middlesex,42.459085,-71.275566,Metro Boston,,MA,,
11/13/2023,PENDING,Marijuana Delivery Operator Pre-Certification,Expedited Review - Social Equity Participant,Expedited,Social Equity Participant,IN PROCESS,IN PROCESS,INCOMPLETE,PMD5913,"New Growth, LLC",N/A,N/A,therealnewgrowth@gmail.com,508-642-5056,111 south main street,,randolph,MA,02368,,,111 south main street,,randolph,MA,02368,85-2488311,PMDA5913,11/10/2023 01:22:13 PM,10/24/2023 03:10:52 PM,,,,SE303700,,,,,,,Not a DBE,,,,8/24/2021 09:19:45 PM,,,,,,0,,,,,,,,MA,,
